County,State,CenReg,CenDiv,EMMReg
13133,13,3,5,14
13135,13,3,5,14
13137,13,3,5,15
13139,13,3,5,14
13141,13,3,5,14
13143,13,3,5,14
13145,13,3,5,14
13147,13,3,5,14
13149,13,3,5,14
13151,13,3,5,14
13153,13,3,5,14
13155,13,3,5,14
13157,13,3,5,14
13159,13,3,5,14
13161,13,3,5,14
13163,13,3,5,14
13165,13,3,5,14
13167,13,3,5,14
13169,13,3,5,14
13171,13,3,5,14
13173,13,3,5,14
13175,13,3,5,14
13177,13,3,5,14
13179,13,3,5,14
13181,13,3,5,14
13183,13,3,5,14
13185,13,3,5,14
13187,13,3,5,14
13189,13,3,5,14
13191,13,3,5,14
13193,13,3,5,14
13195,13,3,5,14
13197,13,3,5,14
13199,13,3,5,14
13201,13,3,5,14
13205,13,3,5,14
13207,13,3,5,14
13209,13,3,5,14
13211,13,3,5,14
13213,13,3,5,15
13215,13,3,5,14
13217,13,3,5,14
13219,13,3,5,14
13221,13,3,5,14
13223,13,3,5,14
13225,13,3,5,14
13227,13,3,5,14
13229,13,3,5,14
13231,13,3,5,14
13233,13,3,5,14
13235,13,3,5,14
13237,13,3,5,14
13239,13,3,5,14
13241,13,3,5,14
13243,13,3,5,14
13245,13,3,5,14
13247,13,3,5,14
13249,13,3,5,14
13251,13,3,5,14
13253,13,3,5,14
13255,13,3,5,14
13257,13,3,5,14
13259,13,3,5,14
13261,13,3,5,14
13263,13,3,5,14
13265,13,3,5,14
13267,13,3,5,14
13269,13,3,5,14
13271,13,3,5,14
13273,13,3,5,14
13275,13,3,5,14
13277,13,3,5,14
13279,13,3,5,14
13281,13,3,5,15
13283,13,3,5,14
13285,13,3,5,14
13287,13,3,5,14
13289,13,3,5,14
13291,13,3,5,15
13293,13,3,5,14
13295,13,3,5,15
13297,13,3,5,14
13299,13,3,5,14
13301,13,3,5,14
13303,13,3,5,14
13305,13,3,5,14
13307,13,3,5,14
13309,13,3,5,14
13311,13,3,5,14
13313,13,3,5,14
13315,13,3,5,14
13317,13,3,5,14
13319,13,3,5,14
13321,13,3,5,14
16001,16,4,8,21
16003,16,4,8,21
16005,16,4,8,21
16007,16,4,8,21
16009,16,4,8,21
16011,16,4,8,21
16013,16,4,8,21
16015,16,4,8,21
16017,16,4,8,21
16019,16,4,8,21
16021,16,4,8,21
16023,16,4,8,21
16025,16,4,8,21
16027,16,4,8,21
16029,16,4,8,21
16031,16,4,8,21
16033,16,4,8,21
16035,16,4,8,21
16037,16,4,8,21
16039,16,4,8,21
16041,16,4,8,21
16043,16,4,8,21
16045,16,4,8,21
16047,16,4,8,21
16049,16,4,8,21
16051,16,4,8,21
16053,16,4,8,21
16055,16,4,8,21
16057,16,4,8,21
16059,16,4,8,21
16061,16,4,8,21
16063,16,4,8,21
16065,16,4,8,21
16067,16,4,8,21
16069,16,4,8,21
16071,16,4,8,21
16073,16,4,8,21
16075,16,4,8,21
16077,16,4,8,21
16079,16,4,8,21
16081,16,4,8,21
16083,16,4,8,21
16085,16,4,8,21
16087,16,4,8,21
17001,17,2,3,13
17003,17,2,3,13
17005,17,2,3,13
17007,17,2,3,3
17009,17,2,3,13
17011,17,2,3,13
17013,17,2,3,13
17015,17,2,3,4
17017,17,2,3,13
17019,17,2,3,13
17021,17,2,3,13
17023,17,2,3,13
17025,17,2,3,13
17027,17,2,3,13
17029,17,2,3,13
17031,17,2,3,11
17033,17,2,3,13
17035,17,2,3,13
17037,17,2,3,11
17039,17,2,3,13
17041,17,2,3,13
17043,17,2,3,11
17045,17,2,3,13
17047,17,2,3,13
17049,17,2,3,13
17051,17,2,3,13
17053,17,2,3,13
17055,17,2,3,13
17057,17,2,3,13
17059,17,2,3,13
17061,17,2,3,13
17063,17,2,3,11
17065,17,2,3,13
17067,17,2,3,13
17069,17,2,3,13
17071,17,2,3,13
17073,17,2,3,13
17075,17,2,3,13
17077,17,2,3,13
17079,17,2,3,13
17081,17,2,3,13
17083,17,2,3,13
17085,17,2,3,11
17087,17,2,3,13
17089,17,2,3,11
17091,17,2,3,11
17093,17,2,3,11
17095,17,2,3,13
17097,17,2,3,11
17099,17,2,3,13
17101,17,2,3,13
17103,17,2,3,11
17105,17,2,3,13
17107,17,2,3,13
17109,17,2,3,13
