Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
residential,PM25.PRI,2,middle atlantic,24.6310559277666,19.7673571934374,16.5713292486092,13.8906175353685,12.0505255601947,0.802537952550936,0.672781926085772,0.563947301979431,0.489241126955103
commercial,SO2,2,middle atlantic,16.1832851887362,17.9939585735292,16.712570469249,15.5245322473815,14.6975778734979,1.1118854029745,1.0327056759082,0.959294238859907,0.908194949423968
residential,SO2,2,middle atlantic,32.2886227640972,28.2400057539718,22.3055684062162,17.9661195827197,14.7508007196809,0.874611653779573,0.690818204578812,0.556422604766432,0.456842053235013
commercial,VOC,2,middle atlantic,1.9761424684203,1.82580549056199,1.94001550571123,2.14763668065098,2.42336951705576,0.923924018505365,0.981718442224489,1.08678231198977,1.22631316101059
residential,VOC,2,middle atlantic,46.2809317313816,37.3432306273845,31.6711656946585,26.8288644531057,23.5275880164932,0.806881565049894,0.684324288855734,0.5796958585195,0.508364614460427
industrial,BC,2,midwest,58.554655927904,45.656974040461,37.819184026471,28.449185408052,27.675738232819,0.779732598833414,0.645878340964657,0.485856930712398,0.472647952485538
industrial,CH4,2,midwest,3150.837,3439.629,3445.183,3420.088,3623.073,1.09165564578555,1.0934183520125,1.08545380164064,1.1498763661846
industrial,CO,2,midwest,362.746416832492,408.380550158031,410.617105407543,407.737899547134,423.974070667051,1.12580174802006,1.13196736440034,1.12403012304714,1.16878913476031
industrial,CO2,2,midwest,3150.837,3439.629,3445.183,3420.088,3623.073,1.09165564578555,1.0934183520125,1.08545380164064,1.1498763661846
industrial,NOX,2,midwest,607.031087595014,619.453046619315,584.272545766452,553.807219322965,571.859334736499,1.02046346435652,0.962508441011269,0.912321017226786,0.942059387768983
industrial,OC,2,midwest,8.03371646968617,7.185851376938,6.249200758262,5.086549927474,5.130428497182,0.894461660932716,0.777871708796579,0.633150291856479,0.638612093984245
industrial,PM10.PRI,2,midwest,171.434078248892,144.294051325003,123.572759490674,101.458241058896,103.323363652336,0.841688261744047,0.720817942108734,0.591820728382816,0.602700260693377
industrial,PM25.PRI,2,midwest,79.6716747557179,73.218941103957,65.742075479174,57.947363030087,60.165390764585,0.919008434659549,0.825162464335617,0.727327035709491,0.755166637943267
industrial,SO2,2,midwest,811.626753548562,633.931578044661,516.728660571261,389.408031348354,382.609352311591,0.781062939673946,0.63665799372931,0.479787081495034,0.471410473642917
industrial,VOC,2,midwest,32.4971974205695,41.701201016358,42.87552029834,44.825132375461,47.745085514519,1.28322453400128,1.31936055111021,1.37935378843126,1.46920624866864
electric power,BC,3,midwest reliability council / east,0.834384697954633,0.719874762044645,0.60151765034447,0.600385062044645,0.598169217364575,0.862761222502412,0.720911651207169,0.719554257785884,0.716898594654115
